Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6626a256c505e864096fbca4,5dbafaea6340cc10d46aa917,APPROVED,Not Applicable,2024-04-22T17:46:04.817000Z,2024-04-22T17:59:38.247000Z,2024-04-22T18:47:20.630000Z,2024-04-22T18:15:17.829191Z,814.0,C107BK71,312,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6626a26eb5949e7f9605d929,614f34b7af84fc40f6df42c3,APPROVED,Not Applicable,2024-04-22T17:46:27.765000Z,2024-04-22T17:58:41.887000Z,2024-04-22T18:47:13.215000Z,2024-04-22T18:14:26.256672Z,735.0,C107BK71,540,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6626a280f02f63d2f7e9d526,60e12f6dbb3844c468b97621,APPROVED,Not Applicable,2024-04-22T17:46:45.363000Z,2024-04-22T18:08:18.694000Z,2024-04-22T18:49:04.299000Z,2024-04-22T18:45:47.970163Z,1294.0,C107BK71,661,54,Female,Mixed,United States,United Kingdom,United States Minor Outlying Islands,English,No,Part-Time
6626a28e109f146c9dd36e98,5ba151aaa9e7be000135f08f,APPROVED,Not Applicable,2024-04-22T17:46:59.367000Z,2024-04-22T18:01:38.601000Z,2024-04-22T18:47:36.472000Z,2024-04-22T18:18:06.813800Z,880.0,C107BK71,1475,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6626a2fae6be4e76cc503670,63780dcb8171e255fe423b28,APPROVED,Not Applicable,2024-04-22T17:48:49.840000Z,2024-04-22T18:06:49.080000Z,2024-04-22T18:49:00.484000Z,2024-04-22T18:45:30.572750Z,1080.0,C107BK71,404,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6627673ea633083390d79ebf,5d78cb8a44b0d10001a53485,APPROVED,Not Applicable,2024-04-23T07:46:14.306000Z,2024-04-23T07:57:13.412000Z,2024-04-23T07:57:31.787000Z,2024-04-23T07:57:27.332324Z,660.0,C107BK71,689,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
662768179c1408def8b74a4f,5baa606b849a3b0001c5c7a0,APPROVED,Not Applicable,2024-04-23T07:54:11.103000Z,2024-04-23T08:06:03.408000Z,2024-04-23T08:06:05.215000Z,2024-04-23T08:06:05.634655Z,713.0,C107BK71,92,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Unemployed (and job seeking)
6627683a22ea98fe99d0d444,634e5e65098e5d120efa7ec7,APPROVED,Not Applicable,2024-04-23T07:50:26.003000Z,2024-04-23T08:02:57.062000Z,2024-04-23T08:02:57.832000Z,2024-04-23T08:02:58.430764Z,752.0,C107BK71,589,33,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66278d0b70a3ecb7c48906b8,63ea4294257e4346c3887abe,APPROVED,Not Applicable,2024-04-23T10:27:33.686000Z,2024-04-23T10:41:29.475000Z,2024-04-23T10:43:32.444000Z,2024-04-23T10:42:10.671687Z,836.0,C107BK71,280,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
66278d5549d58ffd50500d18,65a3eae145bd7a121b03e953,APPROVED,Not Applicable,2024-04-23T10:28:43.519000Z,2024-04-23T10:37:56.627000Z,2024-04-23T10:37:57.371000Z,2024-04-23T10:37:58.133071Z,554.0,C107BK71,151,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
