Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65ee0a10d4474929fd1fdc91,6145165d2a83a7d7cbd22a3a,APPROVED,Not Applicable,2024-03-10T19:29:26.918000Z,2024-03-10T19:42:33.150000Z,2024-03-10T19:45:25.548000Z,2024-03-10T19:46:11.679693Z,787.0,C107BK71,170,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65ee0a11e82ba125b3603cc0,63d17255a090b8855e9475f2,APPROVED,Not Applicable,2024-03-10T19:29:27.604000Z,2024-03-10T19:39:33.954000Z,2024-03-10T19:39:34.596000Z,2024-03-10T19:39:34.782614Z,607.0,C107BK71,124,19,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
65ee0a1239046c0a1db3d2f7,64ff48c4eae700b887ae3b92,APPROVED,Not Applicable,2024-03-10T19:29:29.209000Z,2024-03-10T19:36:42.924000Z,2024-03-10T19:38:13.734000Z,2024-03-10T19:36:43.874482Z,434.0,C107BK71,26,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee0a15eca7053625846050,60faac5cca762ee0b7641e6a,APPROVED,Not Applicable,2024-03-10T19:29:30.119000Z,2024-03-10T19:40:30.314000Z,2024-03-10T19:45:05.371000Z,2024-03-10T19:46:01.232974Z,661.0,C107BK71,79,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65ee0a1671f9375f20d8461b,60de029b2e57b1df5755c17a,APPROVED,Not Applicable,2024-03-10T19:29:29.641000Z,2024-03-10T19:38:19.382000Z,2024-03-10T19:38:20Z,2024-03-10T19:38:20.249997Z,530.0,C107BK71,288,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee0a19bc066fbabece1e89,65ec8619ff885af50b691839,APPROVED,Not Applicable,2024-03-10T19:29:34.476000Z,2024-03-10T19:38:01.394000Z,2024-03-10T19:38:22.589000Z,2024-03-10T19:38:02.045136Z,507.0,C107BK71,2,45,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65ee0a1ef8c56b00f92865d5,58fa1836b778bb00014e5215,APPROVED,Not Applicable,2024-03-10T19:29:37.735000Z,2024-03-10T19:38:25.259000Z,2024-03-10T19:38:25.897000Z,2024-03-10T19:38:26.006594Z,528.0,C107BK71,2233,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
65ee0a20ff885af50b6963c0,56f1aced99423f000c9d8897,APPROVED,Not Applicable,2024-03-10T19:29:40.810000Z,2024-03-10T19:41:09.893000Z,2024-03-10T19:45:21.256000Z,2024-03-10T19:46:04.415200Z,690.0,C107BK71,506,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65ee0a294e2426ce77ae830a,5cbf6908d074ee00016accb2,APPROVED,Not Applicable,2024-03-10T19:29:52.562000Z,2024-03-10T19:41:17.047000Z,2024-03-10T19:45:12.417000Z,2024-03-10T19:46:05.184881Z,685.0,C107BK71,420,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee0a2a6520f9319632c60d,5eab8aaadf23cb170f52e0cc,APPROVED,Not Applicable,2024-03-10T19:30:00.185000Z,2024-03-10T19:40:22.275000Z,2024-03-10T19:45:14.227000Z,2024-03-10T19:46:00.761576Z,623.0,C107BK71,1056,31,Female,White,United Kingdom,United Kingdom,United Kingdom,Welsh,No,Unemployed (and job seeking)
65ee0a2ac2d4a21581a73ad2,65c242831388550b0a42bd25,APPROVED,Not Applicable,2024-03-10T19:29:50.036000Z,2024-03-10T19:37:48.098000Z,2024-03-10T19:38:26.684000Z,2024-03-10T19:37:49.033346Z,479.0,C107BK71,68,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65ee0a2d9638576a60121ef5,5629f7f1c8ffc2000f5135a0,APPROVED,Not Applicable,2024-03-10T19:31:23.742000Z,2024-03-10T19:39:21.996000Z,2024-03-10T19:39:22.787000Z,2024-03-10T19:39:22.956157Z,479.0,C107BK71,2005,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65ee0a2ea87a76dad82a35e6,5ce5b9844cd8130019acba32,APPROVED,Not Applicable,2024-03-10T19:29:50.348000Z,2024-03-10T19:36:02.261000Z,2024-03-10T19:38:11.630000Z,2024-03-10T19:36:03.914349Z,372.0,C107BK71,880,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee0a31c8e8f2adb9b28b7a,602074233ff3da67be983216,APPROVED,Not Applicable,2024-03-10T19:29:59.120000Z,2024-03-10T19:40:21.429000Z,2024-03-10T19:45:09.072000Z,2024-03-10T19:46:00.654660Z,623.0,C107BK71,227,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65ee0a329ddf9ad69c713946,5b742314dabac600010daff6,RETURNED,Not Applicable,2024-03-10T19:30:03.060000Z,2024-03-10T19:35:02.570000Z,,2024-03-11T10:09:36.918896Z,,C1BH0PQA,1944,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
