Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65afed14a4a32b0752946f93,5cc4509c2daae1001987e95b,RETURNED,2024-01-23T16:45:12.642000Z,2024-01-23T16:52:53.110000Z,,2024-03-01T10:21:34.977915Z,,C1BH0PQA,683,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65afed1723b0d098b5dcec0c,55884984fdf99b4021921e67,APPROVED,2024-01-23T16:45:14.874000Z,2024-01-23T16:49:44.011000Z,2024-01-23T16:49:44.686000Z,2024-01-23T16:49:45.262417Z,270.0,C107BK71,2997,31,Female,White,"United States, United States",United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65afed18ad8e0689f11ae236,6309e064904e6657470b476a,APPROVED,2024-01-23T16:45:16.009000Z,2024-01-23T16:52:29.391000Z,2024-01-23T16:52:30.058000Z,2024-01-23T16:52:30.490727Z,434.0,C107BK71,361,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time,
65afed18c7c336dcf6ca09f1,651d86fe3e693fe21decec93,APPROVED,2024-01-23T16:45:16.384000Z,2024-01-23T16:56:47.763000Z,2024-01-23T16:56:54.032000Z,2024-01-23T16:56:49.383912Z,692.0,C107BK71,600,40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65afed222f50bc65486005a9,5a68cddb31b87a0001c75534,APPROVED,2024-01-23T16:45:34.837000Z,2024-01-23T16:51:38.975000Z,2024-01-23T16:51:40.628000Z,2024-01-23T16:51:41.071071Z,365.0,C107BK71,2342,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65afed226f877616b93cdd3d,5ddd9d0e40460ecfff653cb5,APPROVED,2024-01-23T16:45:30.194000Z,2024-01-23T16:54:09.548000Z,2024-01-23T16:54:10.134000Z,2024-01-23T16:54:10.711150Z,520.0,C107BK71,2320,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65afed237967177652454907,5a209a6d772bc40001ba087a,RETURNED,2024-01-23T16:45:27.715000Z,2024-01-23T16:51:26.427000Z,,2024-03-01T10:21:34.993147Z,,C1BH0PQA,478,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65afed2881d2455a40130ce4,643555c1fe1118b7b69e95a5,APPROVED,2024-01-23T16:45:36.927000Z,2024-01-23T16:55:54.264000Z,2024-01-23T16:55:54.948000Z,2024-01-23T16:55:55.271379Z,618.0,C107BK71,225,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month,
65afed2f2ac78916931071bd,5c55a6fc3fd1450001f7b476,RETURNED,2024-01-23T16:45:50.400000Z,,,2024-03-01T10:21:34.986528Z,,,1046,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65afed348714c0960cb18e5b,5fec4bf28fd71dda83c7f34e,APPROVED,2024-01-23T16:45:40.399000Z,2024-01-23T17:00:00.212000Z,2024-01-23T17:00:04.287000Z,2024-01-23T17:00:01.565352Z,860.0,C107BK71,1378,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
